word,rating
phoning,3
belushi,3
delusional,3
unintelligent,3
cringeworthy,3
puerile,3
monstrosity,3
screwing,3
retard,3
doubtful,3
charmless,3
glorify,3
revolting,3
degrading,3
dross,3
deplorable,3
regretted,3
dung,3
redeemable,3
excrement,3
disgraceful,3
sleepwalks,3
lamest,3
leaden,3
tosh,3
ppl,3
scrooged,3
forwarding,3
lineup,3
mst3k,3
tomato,3
canal,3
cking,3
sucky,3
midgets,3
red2,3
borring,3
nederlands,3
characther,3
